Addr|Addr(不再使用)|Addr(Not Use)
fpm03|固資編號檔|Assets No
fpm04|資產科目設定檔|Assets Acct Set
fpm05|固資請購/訂購主檔|Assets Requisition/Order Mostly
fpm06|固資請購/訂購異動明細檔|Assets Requisition/Order Change Statement
fpm07|固資異動明細檔|Assets Change Statement
fpm08|固資相關單據之備註檔|Assets Related Docs. Remark
fpm09|固資相關單據加扣款|Assets Related Docs. Plus/Dedu
fpm10|固資／模具描述檔|Assets/Mold Description
fqm01|廠商匯款記錄檔|Supplier Remit Record
fqm02|銀行轉帳表頭檔|Bank Account Transfer Table Header
fqm03|銀行轉帳明細|Bank Account Transfer Detail
fqm04|事業群組設定檔|Cause Group Set
fqm05|事業群組設定明細檔|Cause Group Detail
fqm06|資產負債表項目設定|Balance Sheet Items Set
fqm07|科目於各項MODEL分攤作業主檔|MODEL Subjects Assessed In Various Operations Mostly
fqm08|公司事業群組科目金額計算設定|Cause The Company Calculated The Amount Of Subjects Groups Set
fqm09|公司事業群組科目MODEL費用設定|Companies Cause Groups Subjects MODEL Costs Set
fqm10|公司事業群組科目費用計算|Companies Cause Groups Subjects Costs
fqm11|公司事業群組科目MODEL費用計算|Companies Cause Groups Subjects MODEl Costs
invbak|出貨自定義報表-紙張設定|Ship User-defined Statement-sheet Set
invoff|出貨自定義報表-紙張偏移量|Ship User-defined Statement-sheet Offset
invtab|出貨自定義報表-頁面元件定義|Ship User-defined Statement-page Component Define
kam01|客戶廠商帳款關係設定|Customer Supplier Account Connection Set
kam02|業務行程使用 : 客戶加掛檔案|Sales Schedule Used:Customer Add
kdm01|合約資料主檔|Contract Info Mostly
kdm02|合約產品明細檔|Contract Item Statement
kdm03|合約結轉金額調整|Contract Carry Amount Adjust
kdm04|合約預收款資料維護|Contract Advance Account Data Maintain
kdm05|產品價格等級設定 (補充)|Item Price Level_No. Set(Add)
kdm06|合約可出貨分店或會員|Contract Output Sub-shop Or Associator
kdm07|銷貨/銷退單列表價格變動|Sales/Sales Return Order List Price Change
kem01|報價單主檔|Quotation Mostly
kem02|報價產品明細檔|Quotation Item Statement
kem03|單據拋轉主檔|Paper Migrated Mostly
kem04|單據拋轉明細檔|Paper Migrated Statement
kfm01|客戶訂單主檔|Customer Order Mostly
kfm02|訂單產品明細檔|Order Item Statement
kfm03|訂單產品分批交貨排程|Order Item Batch Delivery Scheduled
kfm04|訂單分批出貨排程主檔|Order Batch Delivery Scheduled Mostly
kfm05|國內訂單產品選擇供應商|Domestic Order Item Choose The Supplier
khm01|倉庫基本資料|Warehouse Basic Data
khm02|倉庫聯絡人資料|Warehouse Contract Data
khm03|倉庫所屬公司關係|Warehouse Include Company Relation
khm04|產品庫存基本檔|Item Stock Basic
khm05|異動性質設定|Change Properties Set
khm06|庫存月異動統計檔|Stock Month Change Statistical
khm07|產品月價格/成本調整|Item Month Price/cost Adjust
khm08|庫存異動主檔|Stock Change Mostly
khm09|庫存異動明細檔|Stock Change Statement
khm10|進/銷/退貨主檔|Purchase/sales/Return Mostly
khm11|進/銷/退貨明細檔|Purchase/sales/Return Statement
khm12|轉貨/盤點主檔|Transfer/Inventory Mostly
khm13|轉貨/盤點明細檔|Transfer/Inventory Statement
khm14|借入/借出/寄庫/調整 主檔|Borrow/Lend/Leave With Warehouse/Adjust Mostly
khm15|借入/借出/寄庫/調整 明細檔|Borrow/Lend/Leave With Warehouse/Adjust Statement
khm16|借入/借出歸還/寄庫出貨 主檔|Borrow/Lend Return/Leave With Warehouse Ship Mostly
khm17|借入/借出歸還/寄庫出貨明細檔|Borrow/Lend Return/Leave With Warehouse Ship Statement
khm18|產品組拆主檔|Item Assembly Disassemble Mostly
khm19|產品組拆子件明細檔|Item Assembly Disassemble Parts Statement
khm20|進貨/進口費用 明細檔|Purchase/Import Expense Statement
khm21|盤點卡主檔|PI Document Mostly
khm23|盤點卡(盤點單記錄檔)|PI Document(Inventory Docs. Record)
khm24|POS 讀入記錄檔|POS Readin Record
khm25|進貨品管驗收檔|Purchase QC Check & Receive
khm26|產品儲位盤點明細檔|Item PI Document By Bin Number Detail
kim01|進口到貨資料主檔|Import Arrival Data Mostly
kim02|進口到貨產品明細|Import Arrival Item Detail
kim03|進口報關及成本卡主檔|Importing Entry And Cost Card Mostly
kim04|進口報關產品&分攤明細|Importing Entry Item&Apportion Detail
kim05|進口品詢價成本試算|Import Product Inquire Cost Trial
kjm01|發票範圍設定作業|Invoice Range Setting Operation
kjm02|銷貨/進貨發票主檔|Sales/Purchase Invoice Mostly
kjm03|進/銷貨發票與庫存單據沖帳明細|Purchase/sales Invoice And Stock Paper Detail
kjm04|發票庫存進/銷明細檔|Invoice Stock Purchase/sales Statement
kjm05|發票列印明細|Invoice Print Detail
kjm06|發票退回 & 折讓主檔|Invoice Return & Allowance Mostly
kjm07|發票退回 & 折讓明細檔|Invoice Return & Allowance Statement
kjm08|產品發票庫存檔|Item Invoice Stock
kjm09|發票庫存異動月統計檔|Invoice Stock Change Statistical
kjm10|發票系統統計檔|Invoice System Statistical
kjm11|401、403 申報書資料|401, 403 Declaration Data
kjm12|零稅率銷售額清單主檔|TAX Free Sale List Mostly
kjm13|零稅率銷售額清單明細檔|TAX Free Sale List Statement
kkhm08|庫存(含途程)異動主檔|Stock(include WIP)Change Mostly
kkhm09|公司幣庫存異動明細檔|Company Currency Stock Change Statement
kmodify|kmodify(臨時表)|kmodify(Temporary Table)
knm01|出貨通知單(FOR倉庫)主檔|Ship Requisition(FOR Stock) Mostly
knm02|出貨通知單(FOR倉庫)明細檔|Ship Requisition(FOR Stock)Statement
kom01|銀行額度設定檔|Bank Limit Set
kom02|L/C 開狀結匯主檔|L/C Settlement Of Exchange Ope Mostly
kom03|L/C 開狀結匯明細檔|L/C Settlement Of Exchange Ope Statement
kom04|L/C 贖單作業明細檔|L/C Redemption Process Statement
kom05|銀行還款作業 主檔|Bank Repayment Operation Mostly
kom06|銀行還款明細檔|Bank Repayment Operation Statement
kom07|銀行額度異動檔|Bank Repayment Operation Change File
kpobak|庫存採購自定義報表-紙張設定|Stock Purchases User-defined Statement-sheet Set
kpooff|庫存採購自定義報表-紙張偏移量|Stock Purchases User-defined Statement-sheet Offset
kpotab|庫存採購自定義報表-頁面元件定義|Stock Purchases User-defined Statement-Page Component Define
kqm09|記錄權利金及退%數設定資料|Record Right Cost And Return %number Setting Data
kqm11|銷貨單加掛檔|Sales Order Add
kqm12|銷貨、報價加掛檔|Sales, Quote Add
kqm15|產品計算資料|Item Calculate Data
kqm16|產品部門公司設定檔|Item Department Company Set
kqm17|部門項目設定檔|Department Item Set
kqm18|產品採購預計交期|Item Calculate Data
kqm19|產品型錄權限設定檔|Item Catalog Privilege Set
kqm20|產品最後入庫日期|Item The End In-storage Date
kqm21|公司產品價格設定檔|Company Item Price Set
kqm22|生管報價單資料|PC Quotation Data
kqm23|生管報價單資料二|PC Quotation Data 2
kqm24|型鋁估算明細記錄檔|Aluminum Estimated Detail Record
kqm25|產品子描述|Item Sub Description
kqm26|客戶追加備註|Customer Add Remark
kquotbak|庫存報價自定義報表-紙張設定|Stock Quote User-defined Statement-sheet Setting
kquotoff|庫存報價自定義報表-紙張偏移量|Stock Quote User-defined Statement-sheet Offset
kquottab|庫存報價自定義報表-頁面元件定義|Stock Quote User-defined Statement-Page Component Define
kscbak|庫存訂單自定義報表-紙張偏移量|Stock Order User-defined Statement-sheet Setting
kscoff|庫存訂單自定義報表-紙張設定|Stock Order User-defined Statement-sheet Offset
ksctab|庫存訂單自定義報表-頁面元件定義|Stock Order User-defined Statement-Page Component Define
ksm01|關帳作業|Close Operation
ksm02|銷貨/報價/訂單 利潤分析|Sales/Quote/Order Profit Analysis
ksm03|批次成本 : 進貨成本待沖資料|Job Costing:I.B. Deliv. Cost Unclear Data
ksm04|批次成本沖銷明細|Job Costing Offset Detail
ksm05|機械序號/批號異動明細|Machine Series No./Lots No. Detail
ksm07|計價單位資料維護|Calculate Price Unit Data Maintenance
ksm08|計價單位的毛量明細輸入|Calculate Price Unit Mainly Detail Input
ksm09|產品包裝明細資料|Item Packing Detail Data
ksm10|五通代碼設定檔|Five Code Set
ksm11|訂單產品對應五通代碼檔|Order Item Corresponding Five Code
ksm12|依公司＋日期關帳設定檔|By Company + Date Close Set
ktm01|維修基本設定檔|Repair Basic Set
ktm02|公司機件基本資料檔|Company Machine Basic Data
ktm03|公司機件技術資料檔|Company Machine Tec.Info
ktm04|公司機件技術附件/回報檔|Company Machine Tec.Info Attachment/Reward
ktm05|維修機件之配件設定檔|Repair Machine Fittings Set
ktm06|維修合約主檔|Repair Contract Mostly
ktm07|維修合約機件檔|Repair Contract Machine
ktm08|維修合約/回報單 之計費方式|Repair Contract/Reward Cost Method
ktm09|維修派工主檔|Repair Work-assign Mostly
ktm10|維修回報主檔|Repair Reward Mostly
ktm11|維修回報派工明細檔|Repair Reward Work-assign Statement
ktm12|更換零件明細檔|Change Component Statement
kum01|參數設定|Parameter Set
kum02|訂單業績申報主檔|Order Achievement Report Mostly
kum03|訂單業績種類統計|Order Achievement Type Stat.
kum04|訂單用戶追加點數明細|Order User Add Number Detail
kum05|調整成本/其它費用|Adjustment Cost/Other Expense
kum06|業績申報人員明細|Achievement Report User Detail
kum07|業績獎金發放檔|Achievement Bonus Provide
kum08|獎金級別金額設定|Bonus Level Amount Set
kum09|獎金級別適用人員|Bonus Level Apply To People
kzm07|電射加工試算檔|Electric Process Trial
kzm08|佈告欄|Bulletin
kzm09|模具股東持股比例設定|Mold Dormantpartner Percentage Set
kzm16|樣式 設定|MODEL Setting
kzm17|產品會計科目設定|Item Bursar Acct. Set
kzm18|客戶等級折數比例設定檔|Customer Level Qty Credited Percent Set
kzm20|POS讀入記錄檔|POS Readin Record
kzm21|工務代號設定檔|Project No. Set
kzm22|工務回報主檔|Project Reward Main
kzm23|工務回報明細檔|Project Reward Detail
net1|財務自定義報表設定|Finance User-defined Statement Set
netbak|網絡設定自定義報表-紙張設定|Net Set User-defined Statement - Sheet Setting
netoff|網絡設定自定義報表-紙張偏移量|Net Set User-defined Statement - Sheet Offset
nettab|網絡設定自定義報表-頁面元件定義|Net Set User-defined Statement - Page Component Define
notetype|帳款別|Account Type
oam01|群組檔|Group
oam02|用戶所屬群組|User Attributive Group
oam03|用戶對於行程總覽的控管|User About Schedule EIS Cont
obm01|佈告欄|Annunciate Field
obm02|佈告欄瀏覽對象|Annunciate Field Browse Object
obm03|佈告欄/交會辦附件檔|Annunciate Field/TASK Attachment File
obm04|佈告欄瀏覽記錄|Annunciate Field Browse Record
obm05|佈告欄基本資料發佈對象|Bulletin Basic Data Issuance Object
ocm01|交會辦主檔|TASK Mostly
ocm02|交會辦對象|TASK Object
ocm03|交會辦進度回報|TASK Scheudle Reward
ocm04|交會辦回報說明附件檔|TASK Reward Explanation Attachment
ocm05|交會辦瀏覽記錄|TASK Browse Record
odm01|預排行程主檔|Uncertain Schedule Mostly
odm02|預排行程的更多洽談內容檔|Uncertain Schedule More Negotiation Content
pam01|產品基本資料:生管加掛檔|Item Basic Data:PC Add
pam02|產品製造說明/品管要求|Item Manufacture Explanation/QM Requirement
pam03|工作中心/加工廠產能設定|Work Center/Fab Cap Setup
pam04|模具資料檔|Mold Data
pam05|成本估算主檔|Cost Est. Mostly
pam06|成本估算作業尾階材料明細|Cost Est. Operation -the Least Level Material Detail
pam07|成本估算:製程、加工途程明細|Cost Est. : Process, Process WIP Detail
pam08|客戶產品包材BOM檔|Cust_Item Packing BOM File
pam09|用料順序資料|Material Consumed Sequence Data
pam10|公司別產品BOM子件tdm05|Company Item BOM Parts Tdm05
pam11|公司別製品多階製程設定檔psm04|Company FG M-Lv Route Setting Psm04
pam12|公司製品補充檔|Company FG Add
pam13|製程設定補充檔|Process Setting Add
pam14|產品BOM版號設定|Item BOM Prescription No. Set
pbm01|生產需求/計劃單主檔|Itemion Demand/Planned Order Mostly
pbm02|生產需求/計劃單明細|Itemion Demand/Planned Order Detail
pbm03|生產需求/計劃安排表|Itemion Demand/Plan Table
pbm04|生管單據＋產品 多行描述檔|PC Doc. + Item Long Text
pbm05|生管單據之備註檔|PC Doc. Remark
pbm06|生產排箵明細檔|By Production Schedule Detail
pbm07|生產排程主檔(記錄選項條件)|By Production Schedule Mostly(Record Select-option)
pbm08|排程之併單明細檔|Schedule Comb.doc Statement
pbm09|請購單明細|PR Doc. Detail
pbm10|物料需求主檔|Material Demand Mostly
pbm11|物料需求待製品明細檔|Material Demand Stay FG Statement
pbm12|物料需求待製品產品合併檔|Material Demand Stay FG Iterm Merge
pbm14|生產需求/計劃單託工/製程修改|Itemion Demand/Plan Order Sub-Contract/Process Modify
pcm01|工單(指製令、託工單)主檔二|WO (shop,sub-contract) Mostly 2
pcm02|工單(指製令、託工單)物料檔|WO(shop,sub-contract)Material
pcm03|途程移轉明細檔|WIP Trf Statement
pcm04|補料/請料單主檔|Resupply/PR Mostly
pcm05|補料/請料單明細檔|Resupply/PR Statement
pcm06|託工單加扣款明細檔|Sub-contract Plus/Dedu Statement
pdm01|變更通知單主檔|Change Order Mostly
pdm02|變更通知單產品明細|Change Order Item Detail
pdm03|變更通知單產品明細(二)|Change Order Item Detail 2
pdm04|變更通知單備註檔|Change Order Remark
pdm05|變更通知單產品多行描述檔|Change Order Item Long Text
pdm06|變更通知單產品安排明細檔|Change Order Item Plan Detail
pdm07|變更通知單－加扣款檔|Change Order-Plus/Dedu
pdm08|組合關係變更檔|Constitution Change
pem01|M入庫/T退修/H領、I退料主檔|M In-storage/T Return Repair/H Pick, I Return Mostly
pem01_MutiItem_CheckStock|生管pem01資料多筆產品檢查庫存資料檔|PC Pem01 Data Multiple Entries Of Produc Check Stock Data
pem02|M入庫、T退修單明細檔|M In-storage/T Rework Order Statement
pem03|託工入庫/退修補充檔 (帳款)|Sub-Contract In-wareh'/Rework Add (Account)
pem04|入庫不良品分析|In-storage Defective Parts FA
pem05|收料/驗貨品管主檔|GR/Check Qc Mostly
pem06|收料/驗貨明細檔|GR/Check Qc Statement
pem07|品管(收驗單明細產品)資料檔|QC(Insp.Instr Detail Item)Data
pem08|品管(收驗單明細產品)檢驗報告資料檔|QC(Insp.instr Detail Item)Inspection Report Data
pem09|品管(收驗單明細產品)檢驗項目每筆抽驗產品結果紀錄檔|QC(Insp.instr Detail Item)Inspection Preject Each Check Item Result
pfm01|途程庫存檔|WIP Stock
pfm02|途程庫存調整主檔 (含可使用量)|WIP Stock Change Mostly (include May Use Quantity)
pfm03|途程庫存異動明細(含可使用量)|WIP Stock Change Statement(include May Use Quantity)
pfm04|途程庫存異動統計檔(含可用量)|WIP Stock Change Statistical (may Use Quantity)
pfm05|途程庫存盤點/可用量盤點/可用量調撥主檔|WIP Stock Adjust/may Use Quantity Adjust/may Use Quantity Adj/Put Mostly
pfm06|途程庫存盤點/可用量盤點/可用量調撥明細檔|WIP Stock Adjust/may Use Quantity Adjust/may Use Quantity Adj/Put Statement
pg1r06_Bom|直接原料產品樹|Direct Raw Material Item Tree
pg1r06_Master|直接原料主檔|Direct Raw Material Mostly
pgm01|各月製造相關成本費用|Each Month Production Related Cost Expense
pgm02|產品月加權成本|Item Month Weighted Cost
pgm03|部門各月製造相關成本費用|Dept. Each Month Manufacture Related Cost Expense
pgm04|部門產品成本核算統計|Dept. Item Cost Calculate Statistical
pgm05|產品相關成本費用|Item Related Cost Expense
pgm06|入庫產品相關耗用|In-storage Item Related Expense
plm01|工作中心每日資源計劃|Work Center Each Day Resource Plan
plm02|工作中心每日機器設備資源|Work Center Each Day Machine Resource
plm03|工作中心每日人力資源|Work Center Each Day Manpower Resource Plan
plm04|能力計畫 派工凍結時間紀錄檔|Capacity Plan Assigning Freeze Time Record
plm05|工作日報|Daily Report
plm06|工作日報工單完工明細檔|Daily Report WO Finish Statement
plm07|工作日報-異常工時/除外工時分析|Daily Report-Abnormal Working Hour/exception Working Hour Analysis
plm08|工作日報─人力投入明細|Daily Report-manpower Investing Detail
plm09|工作日報─人力投入明細─完工明細|Daily Report-manpower Investing Detail-Finish Detail
plm10|工作日報─設備投入明細|Daily Report-Equipment Investing Detail
plm11|工單派工紀錄單|WO Assigning Record File
plm12|資源分配明細紀錄|Resource Share Detail Record
plm13|派工工時調整相關單據時間提示訊息紀錄檔|Assigning Working Hour Adjust Related Docs. Time Prompt Message Record
plm14|派工未完工工時凍結紀錄|Assigning Not Finish Working Hour Freeze Record
plm15|工作日報--單筆產品使用資源紀錄檔|Daily Report--sgl Prod. Use Resource Record
plm16|工作日報--報工使用模具紀錄檔|Daily Report--Confirm Use Mold Record
plm17|供給需求模擬主檔|Supply Demand Simulation Mostly
plm18|供給需求模擬|Supply Demand Simulation
plm19|供給需求模擬展開結構表|Supply Demand Simulation Expanded Construction Table
plm20|工作中心其他資料設定|Work Center Other Data Setting
pmm01|生產單位＋製品 生產統計檔|Itemion Unit + Item Itemion Statistical
pmm02|生產單位生產統計檔|Itemion Unit Itemion Statistical
pmm03|製品生產統計檔|Item Itemion Statistical
pmm04|品管(收驗單明細產品)統計檔|QC(Insp.instr Detail Item)Statistical
pnm01|模具異動單別設定|Mold Change Type Set
pnm02|模具項目檔|Mold Item
pnm03|模具編號檔|Mold No
pnm04|製程所需模具設定|Process Demand Mold Setting
pnm05|模具請購/訂購主檔|Mold Requisition/Order Mostly
pnm06|模具請購/訂購明細檔|Mold Requisition/Order Statement
pnm07|模具請購/訂購明細檔|Mold Requisition/Order Statement
pnm08|模具相關單據之備註檔|Mold Related Docs. Remark
pnm09|模具相關單據加扣款|Mold Related Docs. Plus/Dedu
pobak|採購自定義報表-紙張設定|Purchase User-defined Statement-sheet Setting
pom01|上層分類編碼設定檔(母)|Upper Classify Code Setting File(mother)
pom02|次分類(下一層)編碼設定檔(子)|Sub-classify(next Level)Code Set (Parts)
pooff|採購自定義報表-紙張偏移量|Purchase User-defined Statement-sheet Offset
potab|採購自定義報表-頁面元件定義|Purchase User-defined Statement-Page Component Define
ppgm01|生管SQL各月製造相關成本費用|PC SQL Manufacture Related Cost Expense Of Each Month
ppgm02|公司幣月加權成本(含途程品)|Company Currency Month Weighted Cost(Include WIP GooDs)
ppgm03|生管SQL部門各月製造相關成本費用|PC SQL Department Manufacture Related Cost Expense Of Each Month
ppgm04|生管SQL部門產品成本核算統計|PC SQL Department Item Cost Accounting Statistical
pq3i16_detail|直接原料&單位成本調整明細檔|Direct Raw Material & Unit Cost Adjust Detail
